# spatial freqs [1/mm], spectrum [a.u.]
0.000000000000000000e+00,-1.064954961572230374e+01
9.766186017119550620e-04,-1.046765406652516717e+01
1.953237203423910124e-03,-1.022575851732799990e+01
2.929855805135865403e-03,-1.008386296813085536e+01
3.906474406847820248e-03,-9.961967418933706853e+00
4.883093008559775093e-03,-9.900071869736560615e+00
5.859711610271730806e-03,-9.918176320539398461e+00
6.836330211983685651e-03,-9.856280771342238012e+00
7.812948813695640496e-03,-9.694385222145097458e+00
8.789567415407595341e-03,-9.452489672947944399e+00
9.766186017119550186e-03,-9.170594123750799298e+00
1.074280461883150503e-02,-8.928698574553632028e+00
1.171942322054346161e-02,-8.726803025356499433e+00
1.269604182225541646e-02,-8.684907476159335005e+00
1.367266042396737130e-02,-8.623011926962174556e+00
1.464927902567932615e-02,-8.561116377765028318e+00
1.562589762739128099e-02,-8.439220828567879806e+00
1.660251622910323757e-02,-8.277325279370725042e+00
1.757913483081519068e-02,-8.175429730173572551e+00
1.855575343252714726e-02,-8.033534180976428019e+00
1.953237203423910037e-02,-7.851638631779278121e+00
2.050899063595105695e-02,-7.569743082582118809e+00
2.148560923766301006e-02,-7.247847533384967456e+00
2.246222783937496664e-02,-6.905951984187805870e+00
2.343884644108692322e-02,-6.644056434990671001e+00
2.441546504279887633e-02,-6.622160885793502594e+00
2.539208364451083291e-02,-6.580265336596366588e+00
2.636870224622278602e-02,-6.478369787399214097e+00
2.734532084793474260e-02,-6.316474238202045122e+00
2.832193944964669571e-02,-6.114578689004898315e+00
2.929855805135865229e-02,-5.952683139807743551e+00
3.027517665307060540e-02,-5.830787590610609250e+00
3.125179525478256198e-02,-5.728892041413442549e+00
3.222841385649451856e-02,-5.606996492216279826e+00
3.320503245820647514e-02,-5.485100943019145525e+00
3.418165105991842478e-02,-5.343205393821986782e+00
3.515826966163038136e-02,-5.201309844624842249e+00
3.613488826334233794e-02,-5.079414295427679527e+00
3.711150686505429452e-02,-4.977518746230541247e+00
3.808812546676624416e-02,-5.015623197033375114e+00
3.906474406847820074e-02,-5.133727647836221486e+00
4.004136267019015732e-02,-5.291832098639074111e+00
4.101798127190211390e-02,-5.489936549441918778e+00
4.199459987361407048e-02,-5.528041000244781067e+00
4.297121847532602013e-02,-5.506145451047612660e+00
4.394783707703797671e-02,-5.404249901850474380e+00
4.492445567874993329e-02,-5.122354352653315068e+00
4.590107428046188986e-02,-4.800458803456163714e+00
4.687769288217384644e-02,-4.378563254259018045e+00
4.785431148388579609e-02,-3.876667705061859870e+00
4.883093008559775267e-02,-3.274772155864707379e+00
4.980754868730970925e-02,-2.752876606667553183e+00
5.078416728902166583e-02,-2.270981057470405240e+00
5.176078589073361547e-02,-1.929085508273257643e+00
5.273740449244557205e-02,-1.747189959076092647e+00
5.371402309415752863e-02,-1.725294409878952662e+00
5.469064169586948521e-02,-1.883398860681791076e+00
5.566726029758144179e-02,-2.121503311484642218e+00
5.664387889929339143e-02,-2.399607762287485180e+00
5.762049750100534801e-02,-2.697712213090338373e+00
5.859711610271730459e-02,-3.015816663893187588e+00
5.957373470442926117e-02,-3.273921114696034529e+00
6.055035330614121081e-02,-3.492025565498889428e+00
6.152697190785316739e-02,-3.590130016301725568e+00
6.250359050956512397e-02,-3.588234467104581604e+00
6.348020911127708055e-02,-3.546338917907417176e+00
6.445682771298903713e-02,-3.444443368710278897e+00
6.543344631470099371e-02,-3.382547819513118448e+00
6.641006491641295029e-02,-3.360652270315964252e+00
6.738668351812489299e-02,-3.278756721118821993e+00
6.836330211983684957e-02,-3.136861171921663249e+00
6.933992072154880615e-02,-3.014965622724514738e+00
7.031653932326076273e-02,-2.893070073527366226e+00
7.129315792497271931e-02,-2.751174524330221693e+00
7.226977652668467589e-02,-2.569278975133056697e+00
7.324639512839663247e-02,-2.467383425935904206e+00
7.422301373010858905e-02,-2.565487876738754558e+00
7.519963233182054563e-02,-2.823592327541601499e+00
7.617625093353248833e-02,-3.101696778344458671e+00
7.715286953524444491e-02,-3.199801229147294812e+00
7.812948813695640149e-02,-3.157905679950144595e+00
7.910610673866835807e-02,-3.056010130752992104e+00
8.008272534038031465e-02,-2.914114581555833361e+00
8.105934394209227123e-02,-2.852219032358687123e+00
8.203596254380422781e-02,-2.770323483161530653e+00
8.301258114551618439e-02,-2.688427933964388394e+00
8.398919974722814097e-02,-2.626532384767227946e+00
8.496581834894008367e-02,-2.564636835570067497e+00
8.594243695065204025e-02,-2.582741286372933764e+00
8.691905555236399683e-02,-2.680845737175769905e+00
8.789567415407595341e-02,-2.698950187978621962e+00
8.887229275578790999e-02,-2.657054638781471745e+00
8.984891135749986657e-02,-2.615159089584321528e+00
9.082552995921182315e-02,-2.613263540387163353e+00
9.180214856092377973e-02,-2.811367991190008020e+00
9.277876716263573631e-02,-2.889472441992862350e+00
9.375538576434769289e-02,-2.927576892795710428e+00
9.473200436605963559e-02,-2.845681343598568169e+00
9.570862296777159217e-02,-2.803785794401403741e+00
9.668524156948354875e-02,-2.821890245204255798e+00
9.766186017119550533e-02,-2.919994696007106150e+00
9.863847877290746191e-02,-3.058099146809948543e+00
9.961509737461941849e-02,-3.216203597612801168e+00
1.005917159763313751e-01,-3.334308048415647541e+00
1.015683345780433317e-01,-3.412412499218501871e+00
1.025449531797552882e-01,-3.430516950021339717e+00
1.035215717814672309e-01,-3.428621400824195753e+00
1.044981903831791875e-01,-3.326725851627043262e+00
1.054748089848911441e-01,-3.144830302429878266e+00
1.064514275866031007e-01,-2.862934753232733165e+00
1.074280461883150573e-01,-2.581039204035573853e+00
1.084046647900270138e-01,-2.319143654838438984e+00
1.093812833917389704e-01,-2.057248105641275693e+00
1.103579019934509270e-01,-1.915352556444130938e+00
1.113345205951628836e-01,-1.773457007246972195e+00
1.123111391968748263e-01,-1.711561458049811746e+00
1.132877577985867829e-01,-1.749665908852674034e+00
1.142643764002987394e-01,-1.827770359655514154e+00
1.152409950020106960e-01,-1.945874810458360527e+00
1.162176136037226526e-01,-2.123979261261209395e+00
1.171942322054346092e-01,-2.362083712064060315e+00
