# spatial freqs [1/mm], spectrum [a.u.]
-1.760000000000000000e+02,1.297350371983294437e+01
-1.750000000000000000e+02,2.156554602988358482e+01
-1.740000000000000000e+02,1.430476839248629339e+01
-1.730000000000000000e+02,2.128304541599449706e+01
-1.720000000000000000e+02,1.306354885200137872e+01
-1.710000000000000000e+02,2.183135833300776341e+01
-1.700000000000000000e+02,1.346659691130692238e+01
-1.690000000000000000e+02,2.203983407816187423e+01
-1.680000000000000000e+02,1.310982170121803314e+01
-1.670000000000000000e+02,2.272606195920803529e+01
-1.660000000000000000e+02,1.363862524544041221e+01
-1.650000000000000000e+02,2.245152777780081266e+01
-1.640000000000000000e+02,1.376467660539758953e+01
-1.630000000000000000e+02,2.334356802746980009e+01
-1.620000000000000000e+02,1.477387062396500639e+01
-1.610000000000000000e+02,2.284039093632086903e+01
-1.600000000000000000e+02,1.478983204364894632e+01
-1.590000000000000000e+02,2.357005793125505377e+01
-1.580000000000000000e+02,1.533008474889646955e+01
-1.570000000000000000e+02,2.455410141918577338e+01
-1.560000000000000000e+02,1.721825213765813700e+01
-1.550000000000000000e+02,2.463803819171311105e+01
-1.540000000000000000e+02,1.558938326764026705e+01
-1.530000000000000000e+02,2.491808406910985596e+01
-1.520000000000000000e+02,1.625431773987544659e+01
-1.510000000000000000e+02,2.635692762504309172e+01
-1.500000000000000000e+02,1.830290441357422537e+01
-1.490000000000000000e+02,2.554197538905423315e+01
-1.480000000000000000e+02,1.844783916167340365e+01
-1.470000000000000000e+02,2.644995291557016870e+01
-1.460000000000000000e+02,1.978577869501866360e+01
-1.450000000000000000e+02,2.775310108356034888e+01
-1.440000000000000000e+02,2.045755619953546045e+01
-1.430000000000000000e+02,2.840913698646354391e+01
-1.420000000000000000e+02,2.069730468642095289e+01
-1.410000000000000000e+02,2.652148743655435226e+01
-1.400000000000000000e+02,2.244044498273709110e+01
-1.390000000000000000e+02,2.679735591629535563e+01
-1.380000000000000000e+02,2.244941706674377357e+01
-1.370000000000000000e+02,2.598913328023128599e+01
-1.360000000000000000e+02,1.982608835616724363e+01
-1.350000000000000000e+02,3.140717952039787519e+01
-1.340000000000000000e+02,2.231227999075661472e+01
-1.330000000000000000e+02,3.276880012078035520e+01
-1.320000000000000000e+02,2.299290713852064982e+01
-1.310000000000000000e+02,3.378768315344515827e+01
-1.300000000000000000e+02,2.276548658763150357e+01
-1.290000000000000000e+02,3.460246473512506782e+01
-1.280000000000000000e+02,2.334441664738341515e+01
