# spatial freqs [1/mm], spectrum [a.u.]
0.000000000000000000e+00,1.963382065984191982e+01
9.766186017119550620e-04,1.973431320429370928e+01
1.953237203423910124e-03,1.983480574874549163e+01
2.929855805135865403e-03,1.993529829319726687e+01
3.906474406847820248e-03,1.989579083764906287e+01
4.883093008559775093e-03,1.993628338210084294e+01
5.859711610271730806e-03,2.003677592655263240e+01
6.836330211983685651e-03,2.017726847100442100e+01
7.812948813695640496e-03,2.029776101545619937e+01
8.789567415407595341e-03,2.041825355990798485e+01
9.766186017119550186e-03,2.059874610435977971e+01
1.074280461883150503e-02,2.103923864881155836e+01
1.171942322054346161e-02,2.127973119326334128e+01
1.269604182225541646e-02,2.124022373771513728e+01
1.367266042396737130e-02,2.090071628216691479e+01
1.464927902567932615e-02,2.034120882661870056e+01
1.562589762739128099e-02,1.962170137107048973e+01
1.660251622910323757e-02,1.890219391552227179e+01
1.757913483081519068e-02,1.840268645997405983e+01
1.855575343252714726e-02,1.798317900442583905e+01
1.953237203423910037e-02,1.774367154887763220e+01
2.050899063595105695e-02,1.762416409332941569e+01
2.148560923766301006e-02,1.764465663778119264e+01
2.246222783937496664e-02,1.776514918223298523e+01
2.343884644108692322e-02,1.796564172668477610e+01
2.441546504279887633e-02,1.818613427113655590e+01
2.539208364451083291e-02,1.842662681558833881e+01
2.636870224622278602e-02,1.848711936004012202e+01
2.734532084793474260e-02,1.854761190449191233e+01
2.832193944964669571e-02,1.862810444894369866e+01
2.929855805135865229e-02,1.868859699339548186e+01
3.027517665307060540e-02,1.884908953784726648e+01
3.125179525478256198e-02,1.904958208229905736e+01
3.222841385649451856e-02,1.929007462675083318e+01
3.320503245820647514e-02,1.953056717120261609e+01
3.418165105991842478e-02,1.953105971565439702e+01
3.515826966163038136e-02,1.939155226010618449e+01
3.613488826334233794e-02,1.923204480455797594e+01
3.711150686505429452e-02,1.907253734900976028e+01
3.808812546676624416e-02,1.897302989346155400e+01
3.906474406847820074e-02,1.891352243791333976e+01
4.004136267019015732e-02,1.881401498236511216e+01
4.101798127190211390e-02,1.873450752681690190e+01
4.199459987361407048e-02,1.869500007126869079e+01
4.297121847532602013e-02,1.865549261572047257e+01
4.394783707703797671e-02,1.867598516017225663e+01
4.492445567874993329e-02,1.873647770462403983e+01
4.590107428046188986e-02,1.879697024907583014e+01
