# spatial freqs [1/mm], spectrum [a.u.]
0.000000000000000000e+00,8.777147729115775121e+00
9.766186017119550620e-04,7.555357246360223655e+00
1.953237203423910124e-03,6.453566763604683842e+00
2.929855805135865403e-03,5.451776280849131240e+00
3.906474406847820248e-03,4.729985798093572669e+00
4.883093008559775093e-03,4.428195315338022908e+00
5.859711610271730806e-03,4.726404832582467463e+00
6.836330211983685651e-03,5.364614349826922535e+00
7.812948813695640496e-03,6.082823867071368795e+00
8.789567415407595341e-03,6.821033384315818182e+00
9.766186017119550186e-03,7.439242901560270127e+00
1.074280461883150503e-02,7.297452418804716956e+00
1.171942322054346161e-02,6.495661936049167196e+00
1.269604182225541646e-02,5.073871453293612888e+00
1.367266042396737130e-02,3.412080970538064140e+00
1.464927902567932615e-02,1.570290487782507904e+00
1.562589762739128099e-02,2.850000502696335009e-02
1.660251622910323757e-02,-1.073290477728583658e+00
1.757913483081519068e-02,-1.555080960484140240e+00
1.855575343252714726e-02,-1.376871443239693127e+00
1.953237203423910037e-02,-6.386619259952436289e-01
2.050899063595105695e-02,6.595475912492080317e-01
2.148560923766301006e-02,2.177757108493658667e+00
2.246222783937496664e-02,3.595966625738107769e+00
2.343884644108692322e-02,4.694176142982549038e+00
2.441546504279887633e-02,5.492385660227000699e+00
2.539208364451083291e-02,5.950595177471456054e+00
2.636870224622278602e-02,6.328804694715898904e+00
2.734532084793474260e-02,6.627014211960350565e+00
2.832193944964669571e-02,6.845223729204796825e+00
2.929855805135865229e-02,6.883433246449243370e+00
3.027517665307060540e-02,6.761642763693700431e+00
3.125179525478256198e-02,6.379852280938145270e+00
3.222841385649451856e-02,5.738061798182592099e+00
3.320503245820647514e-02,4.836271315427040918e+00
3.418165105991842478e-02,3.494480832671485349e+00
3.515826966163038136e-02,2.012690349915942978e+00
3.613488826334233794e-02,2.308998671603890995e-01
3.711150686505429452e-02,-1.550890615595164723e+00
3.808812546676624416e-02,-3.412681098350716535e+00
3.906474406847820074e-02,-5.154471581106271572e+00
4.004136267019015732e-02,-6.796262063861817637e+00
4.101798127190211390e-02,-7.938052546617363703e+00
4.199459987361407048e-02,-8.719843029372917442e+00
4.297121847532602013e-02,-9.181633512128470898e+00
4.394783707703797671e-02,-9.523423994884026911e+00
4.492445567874993329e-02,-9.805214477639573545e+00
4.590107428046188986e-02,-1.010700496039512331e+01
4.687769288217384644e-02,-1.042879544315067619e+01
4.785431148388579609e-02,-1.077058592590622510e+01
4.883093008559775267e-02,-1.111237640866177401e+01
4.980754868730970925e-02,-1.159416689141732348e+01
5.078416728902166583e-02,-1.209595737417287609e+01
5.176078589073361547e-02,-1.269774785692843011e+01
5.273740449244557205e-02,-1.333953833968398328e+01
5.371402309415752863e-02,-1.392132882243953063e+01
5.469064169586948521e-02,-1.434311930519508138e+01
5.566726029758144179e-02,-1.450490978795063413e+01
5.664387889929339143e-02,-1.440670027070618886e+01
5.762049750100534801e-02,-1.406849075346173805e+01
5.859711610271730459e-02,-1.359028123621728668e+01
5.957373470442926117e-02,-1.311207171897283530e+01
6.055035330614121081e-02,-1.299386220172839046e+01
6.152697190785316739e-02,-1.285565268448394249e+01
6.250359050956512397e-02,-1.277744316723949680e+01
6.348020911127708055e-02,-1.271923364999504003e+01
6.445682771298903713e-02,-1.264102413275059433e+01
6.543344631470099371e-02,-1.236281461550614580e+01
6.641006491641295029e-02,-1.206460509826170124e+01
6.738668351812489299e-02,-1.170639558101725441e+01
6.836330211983684957e-02,-1.146818606377279792e+01
6.933992072154880615e-02,-1.134997654652835308e+01
7.031653932326076273e-02,-1.129176702928390341e+01
7.129315792497271931e-02,-1.111355751203945630e+01
7.226977652668467589e-02,-1.039534799479501004e+01
7.324639512839663247e-02,-9.837138477550553262e+00
7.422301373010858905e-02,-9.518928960306105580e+00
7.519963233182054563e-02,-9.360719443061661593e+00
7.617625093353248833e-02,-9.342509925817211069e+00
7.715286953524444491e-02,-9.484300408572757135e+00
7.812948813695640149e-02,-9.786090891328306896e+00
7.910610673866835807e-02,-1.028788137408385950e+01
8.008272534038031465e-02,-1.078967185683941210e+01
8.105934394209227123e-02,-1.119146233959496328e+01
8.203596254380422781e-02,-1.147325282235050992e+01
8.301258114551618439e-02,-1.181504330510606593e+01
8.398919974722814097e-02,-1.211683378786161569e+01
8.496581834894008367e-02,-1.233862427061716716e+01
8.594243695065204025e-02,-1.230041475337272061e+01
8.691905555236399683e-02,-1.198220523612826582e+01
8.789567415407595341e-02,-1.146399571888382241e+01
8.887229275578790999e-02,-1.080578620163937131e+01
8.984891135749986657e-02,-1.086757668439492619e+01
9.082552995921182315e-02,-1.118936716715047908e+01
9.180214856092377973e-02,-1.167115764990602145e+01
9.277876716263573631e-02,-1.225294813266157945e+01
9.375538576434769289e-02,-1.287473861541712949e+01
9.473200436605963559e-02,-1.347652909817268352e+01
9.570862296777159217e-02,-1.401831958092823527e+01
9.668524156948354875e-02,-1.458011006368377949e+01
9.766186017119550533e-02,-1.498190054643933422e+01
9.863847877290746191e-02,-1.526369102919488441e+01
9.961509737461941849e-02,-1.542548151195043715e+01
1.005917159763313751e-01,-1.564727199470598862e+01
1.015683345780433317e-01,-1.596906247746153440e+01
1.025449531797552882e-01,-1.611085296021708757e+01
1.035215717814672309e-01,-1.615264344297263932e+01
1.044981903831791875e-01,-1.611443392572819278e+01
1.054748089848911441e-01,-1.613622440848373785e+01
1.064514275866031007e-01,-1.617801489123929315e+01
1.074280461883150573e-01,-1.623980537399484447e+01
1.084046647900270138e-01,-1.642159585675039679e+01
1.093812833917389704e-01,-1.658338633950594954e+01
1.103579019934509270e-01,-1.670517682226149603e+01
1.113345205951628836e-01,-1.676696730501704735e+01
1.123111391968748263e-01,-1.682875778777259868e+01
1.132877577985867829e-01,-1.687054827052815398e+01
1.142643764002987394e-01,-1.691233875328370573e+01
1.152409950020106960e-01,-1.699412923603924952e+01
1.162176136037226526e-01,-1.705591971879480440e+01
1.171942322054346092e-01,-1.703771020155035743e+01
1.181708508071465658e-01,-1.691950068430590903e+01
