# spatial freqs [1/mm], spectrum [a.u.]
-4.660000000000000000e+02,1.807965679919552177e-02
-4.650000000000000000e+02,-9.975617654100099596e-03
-4.640000000000000000e+02,1.807480120549904631e-02
-4.630000000000000000e+02,-9.963569818170699838e-03
-4.620000000000000000e+02,1.807011605921752737e-02
-4.610000000000000000e+02,-9.951430505606460170e-03
-4.600000000000000000e+02,1.806554324803387457e-02
-4.590000000000000000e+02,-9.939136962915920068e-03
-4.580000000000000000e+02,1.806107958582237050e-02
-4.570000000000000000e+02,-9.926701531702062167e-03
-4.560000000000000000e+02,1.805678507406566560e-02
-4.550000000000000000e+02,-9.914091006507726525e-03
-4.540000000000000000e+02,1.805242978885149632e-02
-4.530000000000000000e+02,-9.901272212480081297e-03
-4.520000000000000000e+02,1.804819306459599232e-02
-4.510000000000000000e+02,-9.888218326934452435e-03
-4.500000000000000000e+02,1.804411985225672435e-02
-4.490000000000000000e+02,-9.875335158526283089e-03
-4.480000000000000000e+02,1.804012850734406509e-02
-4.470000000000000000e+02,-9.862195683448433947e-03
-4.460000000000000000e+02,1.803625457526334547e-02
-4.450000000000000000e+02,-9.848690160398453422e-03
-4.440000000000000000e+02,1.803233567322428885e-02
-4.430000000000000000e+02,-9.835344229540823185e-03
-4.420000000000000000e+02,1.802839068810889456e-02
-4.410000000000000000e+02,-9.821614690186952074e-03
-4.400000000000000000e+02,1.802441746374518899e-02
-4.390000000000000000e+02,-9.807812633367335095e-03
-4.380000000000000000e+02,1.802065868383821365e-02
-4.370000000000000000e+02,-9.794507800383205065e-03
-4.360000000000000000e+02,1.801737923710945710e-02
-4.350000000000000000e+02,-9.780898348613911719e-03
-4.340000000000000000e+02,1.801333651173610620e-02
-4.330000000000000000e+02,-9.767064997479143335e-03
-4.320000000000000000e+02,1.800965674884597370e-02
-4.310000000000000000e+02,-9.753083380525133170e-03
-4.300000000000000000e+02,1.800572370407940367e-02
-4.290000000000000000e+02,-9.738933496148276941e-03
-4.280000000000000000e+02,1.800185502991271530e-02
-4.270000000000000000e+02,-9.725033360663465354e-03
-4.260000000000000000e+02,1.799813271898990583e-02
-4.250000000000000000e+02,-9.711785547371891425e-03
-4.240000000000000000e+02,1.799445602192452018e-02
-4.230000000000000000e+02,-9.697416272069240770e-03
-4.220000000000000000e+02,1.798935440739197686e-02
-4.210000000000000000e+02,-9.683215032985777529e-03
-4.200000000000000000e+02,1.798626823046824488e-02
-4.190000000000000000e+02,-9.670333305396718038e-03
-4.180000000000000000e+02,1.798192703803699194e-02
-4.170000000000000000e+02,-9.655669321054596507e-03
-4.160000000000000000e+02,1.797692290471586407e-02
-4.150000000000000000e+02,-9.641988338344047865e-03
-4.140000000000000000e+02,1.797356500290446524e-02
-4.130000000000000000e+02,-9.630228122298195234e-03
-4.120000000000000000e+02,1.796891529889173625e-02
-4.110000000000000000e+02,-9.617702183027068003e-03
-4.100000000000000000e+02,1.796510830437282602e-02
-4.090000000000000000e+02,-9.601232516282934282e-03
-4.080000000000000000e+02,1.795778699596852282e-02
-4.070000000000000000e+02,-9.583322352212134479e-03
-4.060000000000000000e+02,1.794987341274213721e-02
-4.050000000000000000e+02,-9.564258282200100922e-03
-4.040000000000000000e+02,1.794783789591043385e-02
-4.030000000000000000e+02,-9.546286449575315525e-03
-4.020000000000000000e+02,1.794596007655637968e-02
-4.010000000000000000e+02,-9.554099262549490754e-03
-4.000000000000000000e+02,1.793782596297758061e-02
-3.990000000000000000e+02,-9.528458213176077551e-03
-3.980000000000000000e+02,1.793250879442578882e-02
-3.970000000000000000e+02,-9.524727263595229171e-03
-3.960000000000000000e+02,1.791620405787155978e-02
-3.950000000000000000e+02,-9.501684254078157643e-03
-3.940000000000000000e+02,1.794712780685057962e-02
-3.930000000000000000e+02,-9.501543217538200442e-03
-3.920000000000000000e+02,1.792266690674056487e-02
-3.910000000000000000e+02,-9.450639263025768094e-03
-3.900000000000000000e+02,1.790564952338310339e-02
-3.890000000000000000e+02,-9.459082226119758935e-03
-3.880000000000000000e+02,1.792930810095285862e-02
-3.870000000000000000e+02,-9.459848707814669591e-03
-3.860000000000000000e+02,1.789950364377603659e-02
-3.850000000000000000e+02,-9.402421274558286912e-03
-3.840000000000000000e+02,1.787912093873262470e-02
-3.830000000000000000e+02,-9.429472896079926780e-03
-3.820000000000000000e+02,1.791211134741546585e-02
-3.810000000000000000e+02,-9.377279179262544562e-03
-3.800000000000000000e+02,1.791027493425739400e-02
-3.790000000000000000e+02,-9.385730201034142572e-03
-3.780000000000000000e+02,1.792575678637162162e-02
-3.770000000000000000e+02,-9.309010244248280830e-03
-3.760000000000000000e+02,1.785734804655135510e-02
-3.750000000000000000e+02,-9.311788741052913140e-03
-3.740000000000000000e+02,1.788904309988187738e-02
-3.730000000000000000e+02,-9.299257942275341096e-03
-3.720000000000000000e+02,1.787046941595297686e-02
-3.710000000000000000e+02,-9.329987069518727236e-03
-3.700000000000000000e+02,1.790541026599538205e-02
-3.690000000000000000e+02,-9.241593940112613828e-03
-3.680000000000000000e+02,1.788796725319741557e-02
-3.670000000000000000e+02,-9.224470607206297634e-03
-3.660000000000000000e+02,1.788534191062506745e-02
-3.650000000000000000e+02,-9.280759700437712575e-03
-3.640000000000000000e+02,1.790660194960988147e-02
