# spatial freqs [1/mm], spectrum [a.u.]
0.000000000000000000e+00,-2.127641888687770688e+01
9.766186017119550620e-04,-1.995529135005080690e+01
1.953237203423910124e-03,-1.831416381322391373e+01
2.929855805135865403e-03,-1.695303627639701460e+01
3.906474406847820248e-03,-1.585190873957011881e+01
4.883093008559775093e-03,-1.511078120274321712e+01
5.859711610271730806e-03,-1.478965366591632424e+01
6.836330211983685651e-03,-1.504852612908942611e+01
7.812948813695640496e-03,-1.568739859226252698e+01
8.789567415407595341e-03,-1.640627105543562436e+01
9.766186017119550186e-03,-1.718514351860873290e+01
1.074280461883150503e-02,-1.768401598178183320e+01
1.171942322054346161e-02,-1.758288844495493208e+01
1.269604182225541646e-02,-1.720176090812802983e+01
1.367266042396737130e-02,-1.626063337130113240e+01
1.464927902567932615e-02,-1.505950583447424229e+01
1.562589762739128099e-02,-1.355837829764734259e+01
1.660251622910323757e-02,-1.205725076082044289e+01
1.757913483081519068e-02,-1.071612322399354333e+01
1.855575343252714726e-02,-1.037499568716665088e+01
1.953237203423910037e-02,-1.033386815033975203e+01
2.050899063595105695e-02,-1.051274061351285205e+01
2.148560923766301006e-02,-1.087161307668595178e+01
2.246222783937496664e-02,-1.129048553985905734e+01
2.343884644108692322e-02,-1.130935800303215721e+01
2.441546504279887633e-02,-1.098823046620526078e+01
2.539208364451083291e-02,-1.038710292937835966e+01
2.636870224622278602e-02,-9.505975392551468062e+00
2.734532084793474260e-02,-8.224847855724567225e+00
2.832193944964669571e-02,-6.643720318897665678e+00
2.929855805135865229e-02,-4.742592782070767399e+00
3.027517665307060540e-02,-2.921465245243867415e+00
3.125179525478256198e-02,-1.260337708416974678e+00
3.222841385649451856e-02,7.898284099266896126e-04
3.320503245820647514e-02,1.121917365236823727e+00
3.418165105991842478e-02,1.643044902063726553e+00
3.515826966163038136e-02,2.404172438890617158e+00
3.613488826334233794e-02,3.005299975717518279e+00
3.711150686505429452e-02,3.246427512544412863e+00
3.808812546676624416e-02,2.867555049371317111e+00
3.906474406847820074e-02,2.408682586198208853e+00
4.004136267019015732e-02,2.049810123025109121e+00
4.101798127190211390e-02,1.850937659852005979e+00
4.199459987361407048e-02,1.872065196678908805e+00
4.297121847532602013e-02,2.433192733505803673e+00
4.394783707703797671e-02,3.214320270332697405e+00
4.492445567874993329e-02,4.315447807159598526e+00
4.590107428046188986e-02,5.336575343986501352e+00
4.687769288217384644e-02,6.277702880813398778e+00
4.785431148388579609e-02,7.078830417640288530e+00
4.883093008559775267e-02,7.939957954467187662e+00
4.980754868730970925e-02,8.581085491294087930e+00
5.078416728902166583e-02,9.102213028120990757e+00
5.176078589073361547e-02,9.423340564947883635e+00
5.273740449244557205e-02,9.644468101774782198e+00
5.371402309415752863e-02,9.665595638601685025e+00
5.469064169586948521e-02,9.646723175428581598e+00
5.566726029758144179e-02,9.647850712255474193e+00
5.664387889929339143e-02,1.002897824908237645e+01
5.762049750100534801e-02,1.037010578590927246e+01
5.859711610271730459e-02,1.083123332273617301e+01
5.957373470442926117e-02,1.135236085956307583e+01
6.055035330614121081e-02,1.183348839638996530e+01
6.152697190785316739e-02,1.227461593321686273e+01
6.250359050956512397e-02,1.261574347004376584e+01
6.348020911127708055e-02,1.285687100687066753e+01
6.445682771298903713e-02,1.307799854369755899e+01
6.543344631470099371e-02,1.327912608052445442e+01
6.641006491641295029e-02,1.348025361735135697e+01
6.738668351812489299e-02,1.356138115417825496e+01
6.836330211983684957e-02,1.360250869100514670e+01
6.933992072154880615e-02,1.356363622783204725e+01
7.031653932326076273e-02,1.340476376465895036e+01
7.129315792497271931e-02,1.316589130148584808e+01
7.226977652668467589e-02,1.288701883831274664e+01
7.324639512839663247e-02,1.274814637513963866e+01
7.422301373010858905e-02,1.268927391196654320e+01
7.519963233182054563e-02,1.273040144879344204e+01
7.617625093353248833e-02,1.287152898562034231e+01
7.715286953524444491e-02,1.315265652244722894e+01
7.812948813695640149e-02,1.341378405927413375e+01
7.910610673866835807e-02,1.363491159610103232e+01
8.008272534038031465e-02,1.393603913292792917e+01
8.105934394209227123e-02,1.431716666975482433e+01
8.203596254380422781e-02,1.473829420658172573e+01
8.301258114551618439e-02,1.513942174340862401e+01
8.398919974722814097e-02,1.554054928023552229e+01
8.496581834894008367e-02,1.588167681706241829e+01
8.594243695065204025e-02,1.624280435388931920e+01
8.691905555236399683e-02,1.660393189071621833e+01
8.789567415407595341e-02,1.694505942754311434e+01
8.887229275578790999e-02,1.730618696437001347e+01
8.984891135749986657e-02,1.768731450119690862e+01
