# spatial freqs [1/mm], spectrum [a.u.]
-5.120000000000000000e+02,8.056630580614837847e-03
-5.119411764705882320e+02,1.266444442390471208e-02
-5.118823529411764639e+02,1.647883271026081772e-02
-5.118235294117646959e+02,1.370951407952554664e-02
-5.117647058823529278e+02,1.448729834540559390e-02
-5.117058823529411598e+02,1.615823033858483290e-02
-5.116470588235293917e+02,1.741240678881161505e-02
-5.115882352941176237e+02,1.189463518857554469e-02
-5.115294117647058556e+02,1.126344314818378441e-02
-5.114705882352940876e+02,1.539102680431678194e-02
-5.114117647058823195e+02,1.250716333382483926e-02
-5.113529411764706083e+02,9.066457146714276133e-03
-5.112941176470588402e+02,1.173738629524649114e-02
-5.112352941176470722e+02,1.856973834062699419e-02
-5.111764705882353041e+02,1.856961865959758790e-02
-5.111176470588235361e+02,1.702333682021425765e-02
-5.110588235294117680e+02,9.309736320173921109e-03
-5.110000000000000000e+02,1.443052179429239745e-02
-5.109411764705882320e+02,1.436752051890653227e-02
-5.108823529411764639e+02,1.993603613154228127e-02
-5.108235294117646959e+02,1.672069288535039597e-02
-5.107647058823529278e+02,1.635424269489956992e-02
-5.107058823529411598e+02,2.123679580941136014e-02
-5.106470588235293917e+02,1.580255587419309923e-02
-5.105882352941176237e+02,1.064639530257922850e-02
-5.105294117647058556e+02,1.277311283989807089e-02
-5.104705882352940876e+02,2.260661647542231908e-02
-5.104117647058823195e+02,2.044461287193937923e-02
-5.103529411764706083e+02,1.455715557290452287e-02
-5.102941176470588402e+02,1.913986849946560168e-02
-5.102352941176470722e+02,1.321795555115345966e-02
-5.101764705882353041e+02,1.445872157954940056e-02
-5.101176470588235361e+02,1.019598205469948032e-02
-5.100588235294117680e+02,9.269973095734901705e-03
-5.100000000000000000e+02,1.144593793434405676e-02
-5.099411764705882320e+02,1.855578951537702539e-02
-5.098823529411764639e+02,2.339686966554649014e-02
-5.098235294117646959e+02,1.702517992361320467e-02
-5.097647058823529278e+02,1.502731733188302464e-02
-5.097058823529411598e+02,1.610235948832859296e-02
-5.096470588235293917e+02,1.785195191235168857e-02
-5.095882352941176237e+02,1.536973184986372559e-02
-5.095294117647058556e+02,1.599221406068789680e-02
-5.094705882352940876e+02,1.330466400771139306e-02
-5.094117647058823195e+02,1.566385679096791994e-02
-5.093529411764706083e+02,1.493207065872882537e-02
-5.092941176470588402e+02,2.232893676727079613e-02
-5.092352941176470722e+02,2.429560133442523751e-02
-5.091764705882353041e+02,1.959899367636437281e-02
-5.091176470588235361e+02,1.566023255252265226e-02
-5.090588235294117680e+02,2.580158956187501504e-02
-5.090000000000000000e+02,2.396539783406399435e-02
-5.089411764705882320e+02,1.820604666295472587e-02
-5.088823529411764639e+02,2.474964196625024926e-02
-5.088235294117646959e+02,2.392041411047443958e-02
-5.087647058823529278e+02,1.401813620711066764e-02
-5.087058823529411598e+02,1.591128424705414574e-02
-5.086470588235293917e+02,2.003430426634153841e-02
-5.085882352941176237e+02,2.223099842093394576e-02
-5.085294117647058556e+02,1.773147662672218405e-02
-5.084705882352940876e+02,1.946796535829255562e-02
-5.084117647058823195e+02,1.808299687570239303e-02
-5.083529411764706083e+02,1.906624129682023619e-02
-5.082941176470588402e+02,2.684671446965040953e-02
-5.082352941176470722e+02,2.254023997719688255e-02
-5.081764705882353041e+02,1.928255147725300989e-02
