# spatial freqs [1/mm], spectrum [a.u.]
-2.560000000000000000e+02,1.357019734751647277e+01
-2.550000000000000000e+02,1.255266059318614325e+01
-2.540000000000000000e+02,1.334779420317964949e+01
-2.530000000000000000e+02,1.255555678689492893e+01
-2.520000000000000000e+02,1.361534958148978802e+01
-2.510000000000000000e+02,1.209389007811039995e+01
-2.500000000000000000e+02,1.386679168049345634e+01
-2.490000000000000000e+02,1.323843903042718040e+01
-2.480000000000000000e+02,1.342028620622496682e+01
-2.470000000000000000e+02,1.298333147448434133e+01
-2.460000000000000000e+02,1.335589054514475471e+01
-2.450000000000000000e+02,1.308993761905583320e+01
-2.440000000000000000e+02,1.290224975848063060e+01
-2.430000000000000000e+02,1.303612201230432710e+01
-2.420000000000000000e+02,1.377994337401249858e+01
-2.410000000000000000e+02,1.308095534832379414e+01
-2.400000000000000000e+02,1.339297995761185689e+01
-2.390000000000000000e+02,1.287232034285802662e+01
-2.380000000000000000e+02,1.370972507315430988e+01
-2.370000000000000000e+02,1.318814036762569231e+01
-2.360000000000000000e+02,1.406035651897007277e+01
-2.350000000000000000e+02,1.316384135732053018e+01
-2.340000000000000000e+02,1.416054663346921316e+01
-2.330000000000000000e+02,1.291242820472041508e+01
-2.320000000000000000e+02,1.368479576832999456e+01
-2.310000000000000000e+02,1.297791728242375164e+01
-2.300000000000000000e+02,1.399148616980309079e+01
-2.290000000000000000e+02,1.347104285811209401e+01
-2.280000000000000000e+02,1.363412477462661698e+01
-2.270000000000000000e+02,1.276291978652815828e+01
-2.260000000000000000e+02,1.363334484240452049e+01
-2.250000000000000000e+02,1.292759557312193053e+01
-2.240000000000000000e+02,1.337589005734443859e+01
-2.230000000000000000e+02,1.323208991299136628e+01
-2.220000000000000000e+02,1.440008926568552461e+01
-2.210000000000000000e+02,1.292932548734036224e+01
-2.200000000000000000e+02,1.373386487127042521e+01
-2.190000000000000000e+02,1.262201470527887892e+01
-2.180000000000000000e+02,1.395395079228806168e+01
-2.170000000000000000e+02,1.352545936572093943e+01
-2.160000000000000000e+02,1.415461168925102875e+01
-2.150000000000000000e+02,1.395837905108478871e+01
-2.140000000000000000e+02,1.403761398246308900e+01
-2.130000000000000000e+02,1.362914921567695181e+01
-2.120000000000000000e+02,1.430903331936218237e+01
-2.110000000000000000e+02,1.366814615074710382e+01
-2.100000000000000000e+02,1.458126561432635171e+01
-2.090000000000000000e+02,1.424479047682337907e+01
-2.080000000000000000e+02,1.429224765340537395e+01
-2.070000000000000000e+02,1.441475933822824729e+01
-2.060000000000000000e+02,1.451113703770550956e+01
-2.050000000000000000e+02,1.393011396504650534e+01
-2.040000000000000000e+02,1.482200490676307680e+01
-2.030000000000000000e+02,1.529473338123700188e+01
-2.020000000000000000e+02,1.604535907620878987e+01
-2.010000000000000000e+02,1.459507332315466854e+01
-2.000000000000000000e+02,1.516605591087186156e+01
-1.990000000000000000e+02,1.481508722070952544e+01
-1.980000000000000000e+02,1.496522218340750676e+01
-1.970000000000000000e+02,1.507512056797793498e+01
-1.960000000000000000e+02,1.529288064737630748e+01
-1.950000000000000000e+02,1.533759389574733056e+01
-1.940000000000000000e+02,1.518326556118573301e+01
-1.930000000000000000e+02,1.464489659765449581e+01
-1.920000000000000000e+02,1.609888264911965194e+01
-1.910000000000000000e+02,1.556081054851008005e+01
-1.900000000000000000e+02,1.568347814932993245e+01
-1.890000000000000000e+02,1.552108858345541798e+01
-1.880000000000000000e+02,1.568235836011028184e+01
-1.870000000000000000e+02,1.525282082265454697e+01
-1.860000000000000000e+02,1.599635970195918588e+01
-1.850000000000000000e+02,1.474153842881300314e+01
-1.840000000000000000e+02,1.617477833725055447e+01
-1.830000000000000000e+02,1.530123580890811752e+01
-1.820000000000000000e+02,1.691122186917892023e+01
-1.810000000000000000e+02,1.640301665738054027e+01
-1.800000000000000000e+02,1.634951012840703655e+01
-1.790000000000000000e+02,1.558305071657774477e+01
-1.780000000000000000e+02,1.580902213896862030e+01
-1.770000000000000000e+02,1.534550544720355170e+01
-1.760000000000000000e+02,1.685519975745316756e+01
-1.750000000000000000e+02,1.551422185368091355e+01
-1.740000000000000000e+02,1.647415286897121334e+01
-1.730000000000000000e+02,1.580868631726282203e+01
-1.720000000000000000e+02,1.643709596049332688e+01
-1.710000000000000000e+02,1.594062661996245822e+01
-1.700000000000000000e+02,1.700171142940690672e+01
-1.690000000000000000e+02,1.579959640657968478e+01
-1.680000000000000000e+02,1.707432427954690368e+01
-1.670000000000000000e+02,1.600773560599256484e+01
-1.660000000000000000e+02,1.679391158011996055e+01
-1.650000000000000000e+02,1.643569161643304000e+01
-1.640000000000000000e+02,1.799404821319799908e+01
-1.630000000000000000e+02,1.655850097965043588e+01
-1.620000000000000000e+02,1.717982780322254754e+01
-1.610000000000000000e+02,1.704107617336700642e+01
-1.600000000000000000e+02,1.790051217096447544e+01
-1.590000000000000000e+02,1.686949622713721197e+01
-1.580000000000000000e+02,1.793786831693675765e+01
-1.570000000000000000e+02,1.756681715769842356e+01
-1.560000000000000000e+02,1.825614348306273271e+01
-1.550000000000000000e+02,1.874738104913541292e+01
-1.540000000000000000e+02,1.894378690576859725e+01
-1.530000000000000000e+02,1.897266625740828516e+01
-1.520000000000000000e+02,2.071732861248489144e+01
-1.510000000000000000e+02,1.935993235440924920e+01
-1.500000000000000000e+02,2.011005074235570689e+01
-1.490000000000000000e+02,1.884301914420667501e+01
-1.480000000000000000e+02,2.054000169660398001e+01
-1.470000000000000000e+02,2.107999991343415402e+01
-1.460000000000000000e+02,2.187283908082557460e+01
