# spatial freqs [1/mm], spectrum [a.u.]
0.000000000000000000e+00,1.328825121514227448e+01
9.766186017119550620e-04,1.328789577055460036e+01
1.953237203423910124e-03,1.358754032596692873e+01
2.929855805135865403e-03,1.400718488137925632e+01
3.906474406847820248e-03,1.456682943679158093e+01
4.883093008559775093e-03,1.516647399220390824e+01
5.859711610271730806e-03,1.584611854761623384e+01
6.836330211983685651e-03,1.616576310302856356e+01
7.812948813695640496e-03,1.636540765844088696e+01
8.789567415407595341e-03,1.634505221385321150e+01
9.766186017119550186e-03,1.616469676926553944e+01
1.074280461883150503e-02,1.590434132467786377e+01
1.171942322054346161e-02,1.556398588009018980e+01
1.269604182225541646e-02,1.510363043550251660e+01
1.367266042396737130e-02,1.472327499091484349e+01
1.464927902567932615e-02,1.446291954632716781e+01
1.562589762739128099e-02,1.428256410173949398e+01
1.660251622910323757e-02,1.410220865715182015e+01
1.757913483081519068e-02,1.388185321256414895e+01
1.855575343252714726e-02,1.360149776797647370e+01
1.953237203423910037e-02,1.328114232338879930e+01
2.050899063595105695e-02,1.306078687880112632e+01
2.148560923766301006e-02,1.256043143421345221e+01
2.246222783937496664e-02,1.200007598962578115e+01
2.343884644108692322e-02,1.149972054503810703e+01
2.441546504279887633e-02,1.151936510045043249e+01
2.539208364451083291e-02,1.165900965586275895e+01
2.636870224622278602e-02,1.191865421127508284e+01
2.734532084793474260e-02,1.231829876668741086e+01
2.832193944964669571e-02,1.281794332209973852e+01
2.929855805135865229e-02,1.335758787751206356e+01
3.027517665307060540e-02,1.377723243292438760e+01
3.125179525478256198e-02,1.421687698833671476e+01
3.222841385649451856e-02,1.461652154374903922e+01
3.320503245820647514e-02,1.499616609916136944e+01
3.418165105991842478e-02,1.549581065457369533e+01
3.515826966163038136e-02,1.607545520998602129e+01
3.613488826334233794e-02,1.661509976539834454e+01
3.711150686505429452e-02,1.697474432081066809e+01
3.808812546676624416e-02,1.735438887622300186e+01
3.906474406847820074e-02,1.775403343163532455e+01
4.004136267019015732e-02,1.811367798704764809e+01
4.101798127190211390e-02,1.841332254245997646e+01
4.199459987361407048e-02,1.865296709787230256e+01
4.297121847532602013e-02,1.865261165328463022e+01
4.394783707703797671e-02,1.851225620869695732e+01
4.492445567874993329e-02,1.831190076410928569e+01
4.590107428046188986e-02,1.817154531952160923e+01
4.687769288217384644e-02,1.795118987493393448e+01
4.785431148388579609e-02,1.769083443034626058e+01
4.883093008559775267e-02,1.739047898575858753e+01
4.980754868730970925e-02,1.751012354117091618e+01
5.078416728902166583e-02,1.770976809658323958e+01
5.176078589073361547e-02,1.784941265199556781e+01
5.273740449244557205e-02,1.782905720740789235e+01
5.371402309415752863e-02,1.762870176282021717e+01
5.469064169586948521e-02,1.722834631823254270e+01
5.566726029758144179e-02,1.666799087364487164e+01
5.664387889929339143e-02,1.600763542905719916e+01
5.762049750100534801e-02,1.536727998446952270e+01
5.859711610271730459e-02,1.464692453988184973e+01
5.957373470442926117e-02,1.414656909529417739e+01
6.055035330614121081e-02,1.364621365070650327e+01
6.152697190785316739e-02,1.322585820611882745e+01
6.250359050956512397e-02,1.288550276153115348e+01
6.348020911127708055e-02,1.270514731694347965e+01
6.445682771298903713e-02,1.274479187235580646e+01
6.543344631470099371e-02,1.294443642776813164e+01
6.641006491641295029e-02,1.318408098318045951e+01
6.738668351812489299e-02,1.338372553859278469e+01
6.836330211983684957e-02,1.308337009400510986e+01
6.933992072154880615e-02,1.244301464941743696e+01
7.031653932326076273e-02,1.174265920482976355e+01
7.129315792497271931e-02,1.114230376024209157e+01
7.226977652668467589e-02,1.078194831565441447e+01
7.324639512839663247e-02,1.060159287106674064e+01
7.422301373010858905e-02,1.050123742647906866e+01
7.519963233182054563e-02,1.048088198189139675e+01
7.617625093353248833e-02,1.058052653730372050e+01
7.715286953524444491e-02,1.070017109271604738e+01
7.812948813695640149e-02,1.095981564812837128e+01
7.910610673866835807e-02,1.131946020354070015e+01
8.008272534038031465e-02,1.193910475895302525e+01
8.105934394209227123e-02,1.281874931436535370e+01
8.203596254380422781e-02,1.361839386977767674e+01
8.301258114551618439e-02,1.421803842519000405e+01
8.398919974722814097e-02,1.511768298060232851e+01
8.496581834894008367e-02,1.579732753601465944e+01
8.594243695065204025e-02,1.631697209142698668e+01
8.691905555236399683e-02,1.649661664683931050e+01
8.789567415407595341e-02,1.611626120225163206e+01
8.887229275578790999e-02,1.539590575766396086e+01
8.984891135749986657e-02,1.417555031307628788e+01
9.082552995921182315e-02,1.255519486848861455e+01
9.180214856092377973e-02,1.087483942390094072e+01
9.277876716263573631e-02,9.294483979313268307e+00
9.375538576434769289e-02,7.534128534725593518e+00
9.473200436605963559e-02,5.933773090137919759e+00
9.570862296777159217e-02,4.253417645550247705e+00
9.668524156948354875e-02,2.673062200962573520e+00
9.766186017119550533e-02,1.412706756374897621e+00
9.863847877290746191e-02,2.723513117872247702e-01
9.961509737461941849e-02,-7.880041328004498968e-01
1.005917159763313751e-01,-1.528359577388122448e+00
1.015683345780433317e-01,-2.248715021975796091e+00
1.025449531797552882e-01,-2.789070466563470241e+00
1.035215717814672309e-01,-3.429425911151144035e+00
1.044981903831791875e-01,-4.089781355738818291e+00
1.054748089848911441e-01,-4.630136800326492441e+00
1.064514275866031007e-01,-4.970492244914164637e+00
1.074280461883150573e-01,-5.170847689501838929e+00
1.084046647900270138e-01,-4.991203134089513327e+00
1.093812833917389704e-01,-4.551558578677187050e+00
1.103579019934509270e-01,-3.931914023264861058e+00
1.113345205951628836e-01,-3.092269467852533538e+00
1.123111391968748263e-01,-2.352624912440207439e+00
1.132877577985867829e-01,-1.492980357027881455e+00
1.142643764002987394e-01,-6.533358016155557113e-01
1.152409950020106960e-01,2.863087537967697327e-01
1.162176136037226526e-01,1.165953309209098121e+00
1.171942322054346092e-01,2.025597864621423660e+00
1.181708508071465658e-01,2.565242420033748694e+00
1.191474694088585223e-01,2.924886975446075787e+00
1.201240880105704789e-01,2.984531530858400394e+00
1.211007066122824216e-01,2.664176086270727772e+00
1.220773252139943782e-01,2.303820641683054227e+00
1.230539438157063348e-01,1.903465197095379535e+00
1.240305624174182914e-01,1.503109752507706842e+00
1.250071810191302479e-01,1.162754307920032870e+00
1.259837996208421906e-01,9.223988633323585429e-01
1.269604182225541611e-01,7.220434187446851393e-01
1.279370368242661038e-01,6.016879741570118068e-01
1.289136554259780743e-01,6.813325295693377637e-01
1.298902740276900170e-01,8.809770849816629390e-01
1.308668926294019874e-01,1.240621640393990033e+00
1.318435112311139301e-01,1.720266195806316345e+00
1.328201298328259006e-01,2.039910751218642737e+00
1.337967484345378433e-01,2.299555306630968410e+00
1.347733670362497860e-01,2.439199862043294864e+00
1.357499856379617564e-01,2.338844417455621105e+00
1.367266042396736991e-01,1.998488972867946911e+00
1.377032228413856696e-01,1.638133528280273365e+00
1.386798414430976123e-01,1.177778083692600175e+00
1.396564600448095828e-01,7.174226391049252083e-01
1.406330786465215255e-01,1.570671945172524009e-01
1.416096972482334959e-01,-2.832882500704229645e-01
1.425863158499454386e-01,-5.836436946580942919e-01
