# spatial freqs [1/mm], spectrum [a.u.]
0.000000000000000000e+00,3.392187942651050037e+01
9.766186017119550620e-04,3.404103042995063078e+01
1.953237203423910124e-03,3.420018143339075323e+01
2.929855805135865403e-03,3.429933243683088051e+01
3.906474406847820248e-03,3.431848344027100950e+01
4.883093008559775093e-03,3.433763444371113138e+01
5.859711610271730806e-03,3.435678544715126748e+01
6.836330211983685651e-03,3.441593645059138851e+01
7.812948813695640496e-03,3.457508745403151806e+01
8.789567415407595341e-03,3.483423845747164194e+01
9.766186017119550186e-03,3.515338946091176808e+01
1.074280461883150503e-02,3.551254046435188627e+01
1.171942322054346161e-02,3.587169146779201867e+01
1.269604182225541646e-02,3.613084247123214254e+01
1.367266042396737130e-02,3.638999347467226642e+01
1.464927902567932615e-02,3.662914447811239427e+01
1.562589762739128099e-02,3.676829548155252780e+01
1.660251622910323757e-02,3.674744648499265054e+01
1.757913483081519068e-02,3.644659748843277214e+01
1.855575343252714726e-02,3.612574849187289772e+01
1.953237203423910037e-02,3.592489949531302784e+01
2.050899063595105695e-02,3.594405049875315683e+01
2.148560923766301006e-02,3.600320150219327786e+01
2.246222783937496664e-02,3.610235250563340514e+01
2.343884644108692322e-02,3.614150350907353015e+01
2.441546504279887633e-02,3.616065451251365914e+01
2.539208364451083291e-02,3.619980551595378415e+01
2.636870224622278602e-02,3.627895651939390831e+01
2.734532084793474260e-02,3.629810752283403730e+01
2.832193944964669571e-02,3.633725852627416231e+01
2.929855805135865229e-02,3.635640952971428419e+01
3.027517665307060540e-02,3.647556053315441460e+01
3.125179525478256198e-02,3.659471153659453790e+01
3.222841385649451856e-02,3.669386254003466519e+01
3.320503245820647514e-02,3.683301354347479162e+01
3.418165105991842478e-02,3.691216454691491577e+01
3.515826966163038136e-02,3.701131555035504306e+01
3.613488826334233794e-02,3.713046655379516636e+01
3.711150686505429452e-02,3.718961755723529450e+01
3.808812546676624416e-02,3.722876856067541951e+01
3.906474406847820074e-02,3.718791956411554622e+01
4.004136267019015732e-02,3.714707056755567294e+01
4.101798127190211390e-02,3.708622157099579653e+01
4.199459987361407048e-02,3.702537257443592011e+01
4.297121847532602013e-02,3.690452357787604853e+01
