# spatial freqs [1/mm], spectrum [a.u.]
-5.120000000000000000e+02,1.820844372063176037e-02
-5.119411764705882320e+02,2.201068222318981749e-02
-5.118823529411764639e+02,2.417443541279708230e-02
-5.118235294117646959e+02,2.292036484221014747e-02
-5.117647058823529278e+02,2.469444417315040316e-02
-5.117058823529411598e+02,1.933894411397713703e-02
-5.116470588235293917e+02,1.908472571383267383e-02
-5.115882352941176237e+02,1.679783754027795381e-02
-5.115294117647058556e+02,2.486507181268861333e-02
-5.114705882352940876e+02,1.873180657722395281e-02
-5.114117647058823195e+02,2.603712191499431630e-02
-5.113529411764706083e+02,2.683537933857066057e-02
-5.112941176470588402e+02,2.556910745704772323e-02
-5.112352941176470722e+02,2.577714904729334899e-02
-5.111764705882353041e+02,2.569838634376385086e-02
-5.111176470588235361e+02,2.336470821833333891e-02
-5.110588235294117680e+02,2.267637367318782113e-02
-5.110000000000000000e+02,2.277476112471444811e-02
-5.109411764705882320e+02,2.193110080915043267e-02
-5.108823529411764639e+02,2.315998964096123089e-02
-5.108235294117646959e+02,2.323983783526062732e-02
-5.107647058823529278e+02,1.910968846690739784e-02
-5.107058823529411598e+02,2.377593196765191708e-02
-5.106470588235293917e+02,2.805899497314056149e-02
-5.105882352941176237e+02,2.777423694188771441e-02
-5.105294117647058556e+02,1.359004874960960917e-02
-5.104705882352940876e+02,2.446997075819632925e-02
-5.104117647058823195e+02,1.731174167345918627e-02
-5.103529411764706083e+02,2.162307053030653251e-02
-5.102941176470588402e+02,1.631205105399758173e-02
-5.102352941176470722e+02,2.741336334116123777e-02
-5.101764705882353041e+02,2.785996232668011205e-02
-5.101176470588235361e+02,2.185152962012504307e-02
-5.100588235294117680e+02,1.988216033820608408e-02
-5.100000000000000000e+02,2.976926378679163251e-02
-5.099411764705882320e+02,2.890738252307009301e-02
-5.098823529411764639e+02,1.812431450815124231e-02
-5.098235294117646959e+02,1.220751658100212474e-02
-5.097647058823529278e+02,2.259051861044349130e-02
-5.097058823529411598e+02,2.605591389377580336e-02
-5.096470588235293917e+02,1.743986703071898417e-02
-5.095882352941176237e+02,2.435306458762087969e-02
-5.095294117647058556e+02,2.276275644002572277e-02
-5.094705882352940876e+02,2.512556015123917907e-02
-5.094117647058823195e+02,2.792790106995990743e-02
-5.093529411764706083e+02,2.690183120314333307e-02
-5.092941176470588402e+02,1.624164420322181737e-02
-5.092352941176470722e+02,2.711303864947335260e-02
-5.091764705882353041e+02,1.933054436132908976e-02
-5.091176470588235361e+02,2.840393483508435457e-02
-5.090588235294117680e+02,2.937318228886483598e-02
-5.090000000000000000e+02,2.339004498300698009e-02
-5.089411764705882320e+02,2.539636801173815461e-02
-5.088823529411764639e+02,2.172448943663759721e-02
-5.088235294117646959e+02,2.662550091770687563e-02
-5.087647058823529278e+02,2.730873016298784872e-02
-5.087058823529411598e+02,2.186336052037041178e-02
-5.086470588235293917e+02,2.245241816774073626e-02
-5.085882352941176237e+02,1.725242565225913391e-02
-5.085294117647058556e+02,2.268513313924285305e-02
-5.084705882352940876e+02,2.421824343057570050e-02
-5.084117647058823195e+02,2.612200808591002080e-02
-5.083529411764706083e+02,2.003251368771507765e-02
-5.082941176470588402e+02,2.161268268628012759e-02
-5.082352941176470722e+02,2.586462230220075778e-02
-5.081764705882353041e+02,2.477871782107135545e-02
-5.081176470588235361e+02,2.128185826880959683e-02
-5.080588235294117680e+02,1.898506408338482623e-02
-5.080000000000000000e+02,2.578658555650995346e-02
-5.079411764705882320e+02,2.794305814520338035e-02
-5.078823529411764639e+02,2.718976120832354570e-02
-5.078235294117646959e+02,1.791650044723603133e-02
-5.077647058823529278e+02,2.246471503291031999e-02
-5.077058823529411598e+02,2.155283884728990962e-02
-5.076470588235293917e+02,1.806740459252285588e-02
-5.075882352941176237e+02,1.709997684650587865e-02
-5.075294117647058556e+02,2.088020889610520472e-02
-5.074705882352940876e+02,2.225091706886483944e-02
-5.074117647058823195e+02,2.299629096276732676e-02
-5.073529411764706083e+02,2.009977922044297108e-02
-5.072941176470588402e+02,1.773685816491246334e-02
-5.072352941176470722e+02,2.218445692877183892e-02
-5.071764705882353041e+02,2.379639792516300908e-02
-5.071176470588235361e+02,3.034115185034158557e-02
-5.070588235294117680e+02,2.741731111064912851e-02
-5.070000000000000000e+02,1.320996676847355743e-02
-5.069411764705882320e+02,2.289311575370170382e-02
-5.068823529411764639e+02,2.193861772964532733e-02
-5.068235294117646959e+02,2.188914724233492412e-02
-5.067647058823529278e+02,1.989238385600495401e-02
-5.067058823529411598e+02,2.456354376280084004e-02
-5.066470588235293917e+02,2.913664959362869886e-02
-5.065882352941176237e+02,3.214174168446137098e-02
-5.065294117647058556e+02,1.817761059374269073e-02
-5.064705882352940876e+02,2.430540517554011584e-02
-5.064117647058823195e+02,2.291186385763009647e-02
-5.063529411764706083e+02,1.705589996571727635e-02
-5.062941176470588402e+02,2.285200678796906956e-02
-5.062352941176470722e+02,2.399105440221309740e-02
-5.061764705882353041e+02,2.550595571155265043e-02
-5.061176470588235361e+02,2.435473105450060641e-02
-5.060588235294117680e+02,2.315077310788061019e-02
-5.060000000000000000e+02,2.542423533252704745e-02
-5.059411764705882320e+02,2.301390930431512424e-02
-5.058823529411764639e+02,1.540394288543123734e-02
-5.058235294117646959e+02,2.442205846885812937e-02
-5.057647058823529278e+02,1.940730586296325957e-02
-5.057058823529411598e+02,1.893064645356614187e-02
-5.056470588235293917e+02,2.280943552086876422e-02
-5.055882352941176237e+02,2.617173667073861495e-02
-5.055294117647058556e+02,2.460730437615943691e-02
-5.054705882352940876e+02,2.281620753026744955e-02
-5.054117647058823195e+02,1.953859210555361839e-02
-5.053529411764706083e+02,1.755560993263205818e-02
-5.052941176470588402e+02,2.088866874064815651e-02
-5.052352941176470722e+02,2.202582840451785054e-02
-5.051764705882353041e+02,2.364396986557487645e-02
-5.051176470588235361e+02,2.274911400608710041e-02
-5.050588235294117680e+02,2.332782033934042640e-02
-5.050000000000000000e+02,1.949378757077258051e-02
-5.049411764705882320e+02,1.811923719600632907e-02
-5.048823529411764639e+02,1.995295114487449437e-02
-5.048235294117646959e+02,1.977500754907652800e-02
-5.047647058823529278e+02,2.130888427395866494e-02
-5.047058823529411598e+02,2.170213420323332740e-02
-5.046470588235293917e+02,1.912563296234269863e-02
-5.045882352941176237e+02,2.577430668351035625e-02
-5.045294117647058556e+02,3.441421250070072352e-02
-5.044705882352940876e+02,2.303677415774387296e-02
-5.044117647058823195e+02,1.991747576965626973e-02
-5.043529411764706083e+02,1.930321401501521733e-02
-5.042941176470588402e+02,1.966906119998818037e-02
-5.042352941176470722e+02,2.867709798745446750e-02
-5.041764705882353041e+02,2.886484586399961846e-02
-5.041176470588235361e+02,2.039918340452406484e-02
-5.040588235294117680e+02,2.617637007388155801e-02
-5.040000000000000000e+02,3.090609164871263928e-02
-5.039411764705882320e+02,2.103943914424264219e-02
-5.038823529411764639e+02,2.311030531907269647e-02
-5.038235294117646959e+02,2.333545939494431620e-02
-5.037647058823529278e+02,2.205971742361990603e-02
-5.037058823529411598e+02,2.648120893272551749e-02
-5.036470588235293917e+02,2.817654761838285157e-02
-5.035882352941176237e+02,2.376832563315394234e-02
-5.035294117647058556e+02,1.693725080226944624e-02
-5.034705882352940876e+02,2.680379157566064804e-02
-5.034117647058823195e+02,2.676121443767165431e-02
-5.033529411764706083e+02,2.819885982087197082e-02
-5.032941176470588402e+02,2.317903007416519112e-02
-5.032352941176470722e+02,2.368239018104960000e-02
-5.031764705882353041e+02,1.848911815521820171e-02
-5.031176470588235361e+02,2.095251317732396701e-02
-5.030588235294117680e+02,2.002016713625459979e-02
-5.030000000000000000e+02,2.266600785200598156e-02
-5.029411764705882320e+02,1.973528734366089207e-02
-5.028823529411764639e+02,2.458466073959049425e-02
-5.028235294117646959e+02,2.701119571336229805e-02
-5.027647058823529278e+02,2.597512365723455077e-02
-5.027058823529411598e+02,2.357770696861510515e-02
-5.026470588235293917e+02,2.248063722351548513e-02
-5.025882352941176237e+02,1.986016706220258485e-02
-5.025294117647058556e+02,1.968635192311640400e-02
-5.024705882352940876e+02,1.923496435749738262e-02
-5.024117647058823195e+02,2.061873259456139390e-02
-5.023529411764706083e+02,2.463439097175958506e-02
-5.022941176470588402e+02,1.888402321441524229e-02
-5.022352941176470722e+02,2.676969282399850603e-02
-5.021764705882353041e+02,2.538324716153740959e-02
-5.021176470588235361e+02,2.569878929148284794e-02
-5.020588235294117680e+02,2.150547750508697079e-02
-5.020000000000000000e+02,2.605252679154634876e-02
-5.019411764705882320e+02,2.698621558304982807e-02
-5.018823529411764639e+02,2.058399462641908109e-02
-5.018235294117646959e+02,2.004845332655358359e-02
-5.017647058823529278e+02,2.948177483812939800e-02
-5.017058823529411598e+02,1.595520527842163305e-02
-5.016470588235293917e+02,2.059745370336932627e-02
-5.015882352941176237e+02,2.632742526449319276e-02
-5.015294117647058556e+02,2.453903529077329851e-02
-5.014705882352940876e+02,2.784045506078765275e-02
-5.014117647058823195e+02,2.008269766932701400e-02
-5.013529411764706083e+02,2.416037904156970173e-02
-5.012941176470588402e+02,2.410647093645344741e-02
-5.012352941176470722e+02,2.283600193272009027e-02
-5.011764705882353041e+02,2.629404513199376861e-02
-5.011176470588235361e+02,2.707834252697297397e-02
-5.010588235294117680e+02,2.651750892165565324e-02
-5.010000000000000000e+02,2.282908036826088519e-02
-5.009411764705882320e+02,2.153842670481575031e-02
-5.008823529411764639e+02,2.687336445325979109e-02
